AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Aranthangi,183,GEN,Pudukkottai,RAMACHANDRAN T,Indian National Congress,237024,168048,70.9 %,30893,18.4%
Karaikudi,184,GEN,Sivaganga,S.Mangudi,Indian National Congress,317276,212456,66.96 %,21589,10.2%
Tiruppattur,185,GEN,Sivaganga,KR.PERIYAKARUPPAN,Dravida Munetra Kazhagam,291771,210766,72.24 %,37374,17.7%
Sivaganga,186,GEN,Sivaganga,PR. Senthilnathan,All India Anna Dravida Munnetra Kazhagam,301163,202044,67.09 %,11253,5.6%
Manamadurai,187,SC,Sivaganga,Tamilarasi A.,Dravida Munetra Kazhagam,278605,203061,72.88 %,14091,6.9%
Melur,188,GEN,Madurai,PERIYAPULLAN @ SELVAM P.,All India Anna Dravida Munnetra Kazhagam,244996,182782,74.61 %,35162,19.2%
Madurai East,189,GEN,Madurai,MOORTHY P,Dravida Munetra Kazhagam,329209,237892,72.26 %,49604,20.9%
Sholavandan,190,SC,Madurai,VENKATESAN A,Dravida Munetra Kazhagam,218730,175361,80.17 %,17045,9.7%
Madurai North,191,GEN,Madurai,THALAPATHI G,Dravida Munetra Kazhagam,243596,156556,64.27 %,22916,14.6%
Madurai South,192,GEN,Madurai,BOOMINATHAN.M,Dravida Munetra Kazhagam,230133,147833,64.24 %,6515,4.4%
Madurai Central,193,GEN,Madurai,PALANIVEL THIAGA RAJAN,Dravida Munetra Kazhagam,241913,149430,61.77 %,34176,22.9%
Madurai West,194,GEN,Madurai,RAJU. K,All India Anna Dravida Munnetra Kazhagam,307141,201694,65.67 %,9121,4.5%
Thiruparankundram,195,GEN,Madurai,"RAJANCHELLAPPA, V.V.",All India Anna Dravida Munnetra Kazhagam,321501,235849,73.36 %,29489,12.5%
Thirumangalam,196,GEN,Madurai,UDHAYAKUMAR R B,All India Anna Dravida Munnetra Kazhagam,279598,220495,78.86 %,14087,6.4%
Usilampatti,197,GEN,Madurai,AYYAPPAN P,All India Anna Dravida Munnetra Kazhagam,286453,212513,74.19 %,7477,3.5%
Andipatti,198,GEN,Theni,A.MAHARAJAN,Dravida Munetra Kazhagam,278344,209540,75.28 %,8538,4.1%
Periyakulam,199,SC,Theni,K.S.SARAVANAKUMAAR,Dravida Munetra Kazhagam,285471,201797,70.69 %,21321,10.6%
Bodinayakanur,200,GEN,Theni,O.PANNEERSELVAM,All India Anna Dravida Munnetra Kazhagam,278815,214795,77.04 %,11021,5.1%
Cumbum,201,GEN,Theni,N.Eramakrishnan,Dravida Munetra Kazhagam,288262,202275,70.17 %,42413,21.0%
Rajapalayam,202,GEN,Virudhunagar,THANGAPANDIAN S.,Dravida Munetra Kazhagam,239461,178708,74.63 %,3898,2.2%
Srivilliputhur,203,SC,Virudhunagar,"MANRAJ, E.M.",All India Anna Dravida Munnetra Kazhagam,250640,185039,73.83 %,12738,6.9%
Sattur,204,GEN,Virudhunagar,"RAGHURAMAN, A.R.R.",Dravida Munetra Kazhagam,253363,191783,75.69 %,11179,5.8%
Sivakasi,205,GEN,Virudhunagar,Ashokan.G,Indian National Congress,261809,185047,70.68 %,17319,9.4%
Virudhunagar,206,GEN,Virudhunagar,SEENIVASAN A.R.R,Dravida Munetra Kazhagam,224099,161717,72.16 %,21339,13.2%
Aruppukkottai,207,GEN,Virudhunagar,K.K.S.S.R.RAMACHANDRAN,Dravida Munetra Kazhagam,223820,171201,76.49 %,39034,22.8%
Tiruchuli,208,GEN,Virudhunagar,THANGAM THENARASU,Dravida Munetra Kazhagam,221421,172811,78.05 %,60992,35.3%
Paramakudi,209,SC,Ramanathapuram,MURUGESAN S,Dravida Munetra Kazhagam,256158,182158,71.11 %,13285,7.3%
Tiruvadanai,210,GEN,Ramanathapuram,RM.KARUMANIKAM,Indian National Congress,291236,201815,69.3 %,13852,6.9%
Ramanathapuram,211,GEN,Ramanathapuram,KATHARBATCHA MUTHURAMALINGAM,Dravida Munetra Kazhagam,308443,214098,69.41 %,50312,23.5%
Mudhukulathur,212,GEN,Ramanathapuram,R.S.RAJAKANNAPPAN,Dravida Munetra Kazhagam,310954,221196,71.13 %,20721,9.4%
Vilathikulam,213,GEN,Thoothukkudi,MARKANDAYAN V,Dravida Munetra Kazhagam,216923,167169,77.06 %,38549,23.1%
Thoothukkudi,214,GEN,Thoothukkudi,P.Geetha Jeevan,Dravida Munetra Kazhagam,285497,188407,65.99 %,50310,26.7%
Tiruchendur,215,GEN,Thoothukkudi,Anitha R. Radhakrishnan,Dravida Munetra Kazhagam,245144,174536,71.2 %,25263,14.5%
Srivaikuntam,216,GEN,Thoothukkudi,Oorvasi Amirtharaj .S,Indian National Congress,224689,164386,73.16 %,17372,10.6%
Ottapidaram,217,SC,Thoothukkudi,SHUNMUGAIAH M C,Dravida Munetra Kazhagam,251597,177840,70.68 %,8510,4.8%
Kovilpatti,218,GEN,Thoothukkudi,KADAMBUR RAJU,All India Anna Dravida Munnetra Kazhagam,266625,180928,67.86 %,12403,6.9%
Sankarankovil,219,SC,Tirunelveli,RAJA E,Dravida Munetra Kazhagam,254243,183338,72.11 %,5297,2.9%
Vasudevanallur,220,SC,Tirunelveli,"SADHAN THIRUMALAIKUMAR, DOCTOR.T",Dravida Munetra Kazhagam,241748,175881,72.75 %,2367,1.3%
Kadayanallur,221,GEN,Tirunelveli,C.KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,290432,205374,70.71 %,24349,11.9%
Tenkasi,222,GEN,Tirunelveli,PALANI NADAR.S,Indian National Congress,292538,214108,73.19 %,370,0.2%
Alangulam,223,GEN,Tirunelveli,PAUL MANOJ PANDIAN,All India Anna Dravida Munnetra Kazhagam,260688,203478,78.05 %,3539,1.7%
Tirunelveli,224,GEN,Tirunelveli,Nainar Nagenthran,Bharatiya Janta Party,292411,197587,67.57 %,23107,11.7%
Ambasamudram,225,GEN,Tirunelveli,ESAKKI SUBAYA,All India Anna Dravida Munnetra Kazhagam,245003,177681,72.52 %,16915,9.5%
Palayamkottai,226,GEN,Tirunelveli,ABDUL WAHAB .M,Dravida Munetra Kazhagam,273557,161091,58.89 %,52141,32.4%
Nanguneri,227,GEN,Tirunelveli,RUBY R MANOHARAN,Indian National Congress,277865,192522,69.29 %,16486,8.6%
Radhapuram,228,GEN,Tirunelveli,M.Appavu,Dravida Munetra Kazhagam,270760,187310,69.18 %,5925,3.2%
Kanniyakumari,229,GEN,Kanniyakumari,THALAVAI SUNDARAM N.,All India Anna Dravida Munnetra Kazhagam,293657,225121,76.66 %,16210,7.2%
Nagercoil,230,GEN,Kanniyakumari,Gandhi M.R.,Bharatiya Janta Party,270845,184185,68.0 %,11669,6.3%
Colachal,231,GEN,Kanniyakumari,Prince J.G.,Indian National Congress,269287,182969,67.95 %,24832,13.6%
Padmanabhapuram,232,GEN,Kanniyakumari,"Mano Thangaraj, T.",Dravida Munetra Kazhagam,240853,170156,70.65 %,26885,15.8%
Vilavancode,233,GEN,Kanniyakumari,VIJAYADHARANI S,Indian National Congress,250065,167836,67.12 %,28669,17.1%
Killiyoor,234,GEN,Kanniyakumari,RAJESH KUMAR S,Indian National Congress,255347,169918,66.54 %,55400,32.6%
