AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Virugampakkam,22,GEN,Chennai,V.N.VIRUGAI RAVI,All India Anna Dravida Munnetra Kazhagam,,171339,,2333,1.4%
Saidapet,23,GEN,Chennai,SUBRAMANIAN.MA,Dravida Munetra Kazhagam,,168018,,16255,9.7%
T Nagar,24,GEN,Chennai,SATHYANARAYANAN.B,All India Anna Dravida Munnetra Kazhagam,,141982,,3155,2.2%
Mylapore,25,GEN,Chennai,NATARAJ R,All India Anna Dravida Munnetra Kazhagam,,156132,,14728,9.4%
Velachery,26,GEN,Chennai,VAGAI CHANDERASEKAR,Dravida Munetra Kazhagam,,175522,,8872,5.1%
Shozhinganallur,27,GEN,Kancheepuram,ARAVIND RAMESH S,Dravida Munetra Kazhagam,,345697,,14913,4.3%
Alandur,28,GEN,Kancheepuram,"ANBARASAN, T.M.",Dravida Munetra Kazhagam,,216997,,19169,8.8%
Sriperumbudur,29,SC,Kancheepuram,PALANI.K,All India Anna Dravida Munnetra Kazhagam,,236142,,10716,4.5%
Pallavaram,30,GEN,Kancheepuram,KARUNANITHI.I,Dravida Munetra Kazhagam,,251204,,22165,8.8%
Tambaram,31,GEN,Kancheepuram,S R RAJA,Dravida Munetra Kazhagam,,235355,,14445,6.1%
Chengalpattu,32,GEN,Kancheepuram,VARALAKSHMI.M,Dravida Munetra Kazhagam,,249774,,26292,10.5%
Thiruporur,33,GEN,Kancheepuram,KOTHANDAPANI. M,All India Anna Dravida Munnetra Kazhagam,,201141,,950,0.5%
Cheyyur,34,SC,Kancheepuram,ARASU R T,Dravida Munetra Kazhagam,,169134,,304,0.2%
Madurantakam,35,SC,Kancheepuram,S.PUGAZHENTHI,Dravida Munetra Kazhagam,,177879,,2957,1.7%
Uthiramerur,36,GEN,Kancheepuram,SUNDAR.K,Dravida Munetra Kazhagam,,198773,,12156,6.1%
Kancheepuram,37,GEN,Kancheepuram,C.V.M.P. EZHILARASAN,Dravida Munetra Kazhagam,,224112,,7548,3.4%
Arakkonam,38,SC,Vellore,RAVI S,All India Anna Dravida Munnetra Kazhagam,,165441,,4161,2.5%
Sholingur,39,GEN,Vellore,PARTHIBAN.N.G,All India Anna Dravida Munnetra Kazhagam,,211064,,9732,4.6%
Katpadi,40,GEN,Vellore,DURAIMURUGAN,Dravida Munetra Kazhagam,,177870,,23946,13.5%
